Barcode	Date	State	Subtype	Strain	H1	H3	N1	N2	Constellation	WGS
A01785316	2017-10-17	MN	H3N2	A/swine/Minnesota/A01785316/2017	NA	2010.1	NA	2002A	NA	FALSE
A01785317	2017-10-17	MN	H1N1	A/swine/Minnesota/A01785317/2017	gamma	NA	Classical	NA	NA	FALSE
A01785318	2017-10-20	MN	H1N1	A/swine/Minnesota/A01785318/2017	gamma	NA	Classical	NA	NA	FALSE
A01785319	2017-10-18	MN	H1N2	A/swine/Minnesota/A01785319/2017	delta1b	NA	NA	2002A	NA	FALSE
A01785322	2017-10-18	MN	H3N2	A/swine/Minnesota/A01785322/2017	NA	IV-A	NA	2002B	NA	FALSE
A01785326	2017-10-23	MN	H3N2	A/swine/Minnesota/A01785326/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785327	2017-10-23	MN	H1N1	A/swine/Minnesota/A01785327/2017	gamma	NA	Classical	NA	NA	FALSE
A01785329	2017-10-25	MN	H1N1	A/swine/Minnesota/A01785329/2017	gamma	NA	Classical	NA	NA	FALSE
A01397381	2013-06-25	NE	H1N1	A/swine/Nebraska/A01397381/2013	beta	NA	Classical	NA	TTTTTT	TRUE
A01678515	2017-11-08	NE	H1N2	A/swine/Nebraska/A01678515/2017	delta1a	NA	NA	2002B	NA	FALSE
A02215204	2017-05-01	IL	H1N1	A/swine/Illinois/A02215204/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02216460	2017-05-24	IL	H1N2	A/swine/Illinois/A02216460/2017	delta1b	NA	NA	1998A	TTPPPT	TRUE
A02221733	2017-09-20	IL	H1N2	A/swine/Illinois/A02221733/2017	delta1a	NA	NA	2002B	NA	FALSE
A02221875	2017-09-20	IL	H1N2	A/swine/Illinois/A02221875/2017	alpha	NA	NA	2002B	NA	FALSE
A02223110	2017-10-03	IL	H1N1	A/swine/Illinois/A02223110/2017	gamma	NA	Classical	NA	NA	FALSE
A02216464	2017-05-30	IN	H1N2	A/swine/Indiana/A02216464/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A01678513	2017-10-27	IA	H1N1	A/swine/Iowa/A01678513/2017	gamma	NA	Classical	NA	NA	FALSE
A01785304	2017-09-26	IA	H1N1	A/swine/Iowa/A01785304/2017	gamma	NA	Classical	NA	NA	FALSE
A02215038	2017-05-02	IA	H1N1	A/swine/Iowa/A02215038/2017	pandemic	NA	Pandemic	NA	TTPTPT	TRUE
A02215041	2017-05-02	IA	H1N1	A/swine/Iowa/A02215041/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A02215197	2017-05-02	IA	H1N2	A/swine/Iowa/A02215197/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02215202	2017-05-05	IA	H1N1	A/swine/Iowa/A02215202/2017	pandemic	NA	Pandemic	NA	TTPTPT	TRUE
A02215361	2017-05-08	IA	H1N2	A/swine/Iowa/A02215361/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02215363	2017-05-11	IA	H1N2	A/swine/Iowa/A02215363/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02216044	2017-05-18	IA	H1N1	A/swine/Iowa/A02216044/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A02216046	2017-05-18	IA	H1N1	A/swine/Iowa/A02216046/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02216456	2017-05-23	IA	H1N1	A/swine/Iowa/A02216456/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02219786	2017-08-23	IA	H1N2	A/swine/Iowa/A02219786/2017	delta1b	NA	NA	2002A	NA	FALSE
A02221363	2017-09-13	IA	H1N2	A/swine/Iowa/A02221363/2017	delta1b	NA	NA	2002A	NA	FALSE
A02221487	2017-09-07	IA	H1N1	A/swine/Iowa/A02221487/2017	gamma	NA	Classical	NA	NA	FALSE
A02221490	2017-09-07	IA	H1N1	A/swine/Iowa/A02221490/2017	gamma	NA	Classical	NA	NA	FALSE
A02221492	2017-09-12	IA	H1N2	A/swine/Iowa/A02221492/2017	delta1a	NA	NA	2002B	NA	FALSE
A02221493	2017-09-13	IA	H1N2	A/swine/Iowa/A02221493/2017	delta1a	NA	NA	2002B	NA	FALSE
A02221509	2017-08-30	IA	H1N2	A/swine/Iowa/A02221509/2017	delta2	NA	NA	1998B	NA	FALSE
A02221511	2017-09-03	IA	H1N1	A/swine/Iowa/A02221511/2017	gamma	NA	Classical	NA	NA	FALSE
A02221512	2017-09-06	IA	H1N1	A/swine/Iowa/A02221512/2017	gamma	NA	Classical	NA	NA	FALSE
A02221513	2017-09-05	IA	H3N2	A/swine/Iowa/A02221513/2017	NA	2010.1	NA	2002B	NA	FALSE
A02221527	2017-09-19	IA	H1N2	A/swine/Iowa/A02221527/2017	delta1b	NA	NA	2002A	NA	FALSE
A02221528	2017-08-28	IA	H3N2	A/swine/Iowa/A02221528/2017	NA	2010.1	NA	2002A	NA	FALSE
A02221812	2017-09-29	IA	H1N1	A/swine/Iowa/A02221812/2017	gamma	NA	Classical	NA	NA	FALSE
A02221814	2017-09-29	IA	H1N1	A/swine/Iowa/A02221814/2017	gamma	NA	Classical	NA	NA	FALSE
A02221873	2017-09-19	IA	H1N2	A/swine/Iowa/A02221873/2017	delta1a	NA	NA	2002B	NA	FALSE
A02221874	2017-09-20	IA	H1N2	A/swine/Iowa/A02221874/2017	delta1a	NA	NA	2002B	NA	FALSE
A02223248	2017-10-04	IA	H1N1	A/swine/Iowa/A02223248/2017	gamma	NA	Classical	NA	NA	FALSE
A01764002	2017-09-17	MD	H3N2	A/swine/Maryland/A01764002/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01764005	2017-09-17	MD	H3N2	A/swine/Maryland/A01764005/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01764022	2017-09-23	MD	H3N2	A/swine/Maryland/A01764022/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01764024	2017-09-23	MD	H3N2	A/swine/Maryland/A01764024/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02216465	2017-05-26	MI	H3N2	A/swine/Michigan/A02216465/2017	NA	IV-B	NA	2002B	TTPTPT	TRUE
A01678507	2017-09-26	MN	H1N1	A/swine/Minnesota/A01678507/2017	gamma	NA	Classical	NA	NA	FALSE
A01678509	2017-10-02	MN	NA	A/swine/Minnesota/A01678509/2017	NA	2010.1	NA	NA	NA	FALSE
A01785297	2017-09-24	MN	H1N1	A/swine/Minnesota/A01785297/2017	gamma	NA	Classical	NA	NA	FALSE
A01785302	2017-09-27	MN	H1N2	A/swine/Minnesota/A01785302/2017	delta1b	NA	NA	2002A	NA	FALSE
A01785305	2017-10-01	MN	H1N1	A/swine/Minnesota/A01785305/2017	gamma	NA	Classical	NA	NA	FALSE
A02216466	2017-05-25	MN	H3N2	A/swine/Minnesota/A02216466/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02221497	2017-09-06	MN	H1N1	A/swine/Minnesota/A02221497/2017	gamma	NA	Classical	NA	NA	FALSE
A02216048	2017-05-16	MO	H1N1	A/swine/Missouri/A02216048/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01785261	2017-05-02	NE	H3N2	A/swine/Nebraska/A01785261/2017	NA	IV-A	NA	2002A	TTTTPT	TRUE
A01785290	2017-09-08	NE	H1N2	A/swine/Nebraska/A01785290/2017	delta1a	NA	NA	2002B	NA	FALSE
A02221500	2017-08-25	NE	H1N1	A/swine/Nebraska/A02221500/2017	gamma	NA	Classical	NA	NA	FALSE
A02221501	2017-08-29	NE	H1N1	A/swine/Nebraska/A02221501/2017	gamma	NA	Classical	NA	NA	FALSE
A01785309	2017-10-03	NC	H1N2	A/swine/North_Carolina/A01785309/2017	delta2	NA	NA	1998B	NA	FALSE
A02216061	2017-05-22	NC	H3N2	A/swine/North_Carolina/A02216061/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02221364	2017-09-13	NC	H1N2	A/swine/North_Carolina/A02221364/2017	alpha	NA	NA	2002B	NA	FALSE
A02221498	2017-09-07	NC	H1N2	A/swine/North_Carolina/A02221498/2017	alpha	NA	NA	2002B	NA	FALSE
A02223098	2017-10-02	NC	H1N2	A/swine/North_Carolina/A02223098/2017	alpha	NA	NA	2002B	NA	FALSE
A02223101	2017-10-02	NC	H1N2	A/swine/North_Carolina/A02223101/2017	delta2	NA	NA	1998B	NA	FALSE
A02215367	2017-05-09	OH	H1N1	A/swine/Ohio/A02215367/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A01785298	2017-09-20	TX	H3N2	A/swine/Texas/A01785298/2017	NA	IV-A	NA	2002B	NA	FALSE
A01944807	2015-10-26	IL	H1N2	A/swine/Illinois/A01944807/2015	delta1b	NA	NA	2002A	TTTTPT	TRUE
A02214842	2017-04-10	IL	H1N2	A/swine/Illinois/A02214842/2017	delta2	NA	NA	1998B	TTTTPT	TRUE
A02214843	2017-04-14	IL	H3N2	A/swine/Illinois/A02214843/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02215044	2017-04-19	IL	H1N2	A/swine/Illinois/A02215044/2017	delta1a	NA	NA	2002B	TTTPPT	TRUE
A02221268	2017-09-11	IL	H1N2	A/swine/Illinois/A02221268/2017	delta2	NA	NA	1998B	NA	FALSE
A01945792	2015-10-21	IN	H1N1	A/swine/Indiana/A01945792/2015	gamma	NA	Classical	NA	TTTTPT	TRUE
A02214844	2017-04-03	IN	H3N2	A/swine/Indiana/A02214844/2017	NA	IV-A	NA	2002B	TTTTPT	TRUE
A02214845	2017-04-05	IN	H1N1	A/swine/Indiana/A02214845/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01678504	2017-08-30	IA	H1N1	A/swine/Iowa/A01678504/2017	gamma	NA	Classical	NA	NA	FALSE
A01732729	2016-03-02	IA	H1N1	A/swine/Iowa/A01732729/2016	gamma	NA	Classical	NA	TTPPPT	TRUE
A02214479	2017-04-05	IA	H1N1	A/swine/Iowa/A02214479/2017	gamma	NA	Classical	NA	TTTTPT	TRUE
A02214497	2017-04-09	IA	H3N2	A/swine/Iowa/A02214497/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02214623	2017-04-13	IA	H1N2	A/swine/Iowa/A02214623/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02214835	2017-04-07	IA	H1N1	A/swine/Iowa/A02214835/2017	pandemic	NA	Pandemic	NA	PTPTPT	TRUE
A02215201	2017-04-28	IA	H1N2	A/swine/Iowa/A02215201/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02219784	2017-08-23	IA	H3N2	A/swine/Iowa/A02219784/2017	NA	2010.1	NA	2002A	NA	FALSE
A02219787	2017-08-23	IA	H3N2	A/swine/Iowa/A02219787/2017	NA	2010.1	NA	2002B	NA	FALSE
A02219789	2017-08-18	IA	H3N2	A/swine/Iowa/A02219789/2017	NA	2010.1	NA	2002B	NA	FALSE
A02219791	2017-08-17	IA	H1N1	A/swine/Iowa/A02219791/2017	gamma	NA	Classical	NA	NA	FALSE
A02219792	2017-08-16	IA	H1N2	A/swine/Iowa/A02219792/2017	delta1a	NA	NA	2002B	NA	FALSE
A01785288	2017-09-05	KS	H1N2	A/swine/Kansas/A01785288/2017	delta1a	NA	NA	2002B	NA	FALSE
A01785285	2017-08-31	MN	H1N1	A/swine/Minnesota/A01785285/2017	gamma	NA	Classical	NA	NA	FALSE
A01785287	2017-09-06	MN	H1N1	A/swine/Minnesota/A01785287/2017	gamma	NA	Classical	NA	NA	FALSE
A01785291	2017-09-13	MN	H1N2	A/swine/Minnesota/A01785291/2017	delta2	NA	NA	1998B	NA	FALSE
A01785293	2017-09-12	MN	H1N2	A/swine/Minnesota/A01785293/2017	delta2	NA	NA	1998B	NA	FALSE
A01785296	2017-09-18	MN	H1N2	A/swine/Minnesota/A01785296/2017	delta1a	NA	NA	2002B	NA	FALSE
A01785300	2017-09-27	MN	H3N2	A/swine/Minnesota/A01785300/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785303	2017-09-27	MN	H1N2	A/swine/Minnesota/A01785303/2017	delta1a	NA	NA	2002B	NA	FALSE
A02214704	2017-04-11	MN	H3N2	A/swine/Minnesota/A02214704/2017	NA	IV-G	NA	2002	TTTTTT	TRUE
A02214846	2017-04-04	MN	H1N1	A/swine/Minnesota/A02214846/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02214279	2017-04-03	MO	H1N1	A/swine/Missouri/A02214279/2017	gamma	NA	Classical	NA	TTTTPT	TRUE
A01785286	2017-08-31	NE	H1N1	A/swine/Nebraska/A01785286/2017	gamma	NA	Classical	NA	NA	FALSE
A01785294	2017-09-13	NC	H3N2	A/swine/North_Carolina/A01785294/2017	NA	2010.1	NA	2002B	NA	FALSE
A01795443	2015-10-14	NC	H1N1	A/swine/North_Carolina/A01795443/2015	gamma	NA	Classical	NA	TTTPPT	TRUE
A01797126	2015-10-30	NC	H1N1	A/swine/North_Carolina/A01797126/2015	gamma	NA	Classical	NA	TTPTPT	TRUE
A02214438	2017-04-05	NC	H3N2	A/swine/North_Carolina/A02214438/2017	NA	IV-B	NA	2002B	TTTTPT	TRUE
A02214775	2017-04-19	NC	H1N1	A/swine/North_Carolina/A02214775/2017	gamma	NA	Classical	NA	TTTTPT	TRUE
A02214821	2017-04-21	NC	H1N2	A/swine/North_Carolina/A02214821/2017	alpha	NA	NA	2002B	TTPPPT	TRUE
A02221028	2017-08-30	NC	H1N2	A/swine/North_Carolina/A02221028/2017	delta2	NA	NA	1998B	NA	FALSE
A02221170	2017-09-07	NC	H1N1	A/swine/North_Carolina/A02221170/2017	gamma	NA	Classical	NA	NA	FALSE
A02221285	2017-09-12	NC	H1N1	A/swine/North_Carolina/A02221285/2017	gamma	NA	Classical	NA	NA	FALSE
A01785284	2017-01-25	OH	H3N2	A/swine/Ohio/A01785284/2017	NA	2010.1	NA	2002A	NA	FALSE
A02214848	2017-04-11	OH	H1N1	A/swine/Ohio/A02214848/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02214419	2017-04-03	OK	H1N1	A/swine/Oklahoma/A02214419/2017	delta1b	NA	Pandemic	NA	TTTPPT	TRUE
A02214908	2017-04-26	PA	H1N2	A/swine/Pennsylvania/A02214908/2017	alpha	NA	NA	2002B	TTTPPT	TRUE
A01678506	2017-09-21	SD	H1N2	A/swine/South_Dakota/A01678506/2017	delta1b	NA	NA	2002A	NA	FALSE
A02214607	2017-04-11	TX	H1N1	A/swine/Texas/A02214607/2017	beta	NA	Classical	NA	TTTPPT	TRUE
A01932037	2017-02-03	IL	H1N2	A/swine/Illinois/A01932037/2017	delta1b	NA	NA	2002A	T-TTPT	FALSE
A02214663	2017-03-24	IL	H1N1	A/swine/Illinois/A02214663/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02214664	2017-03-27	IL	H1N2	A/swine/Illinois/A02214664/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A01667086	2017-03-07	IA	H1N2	A/swine/Iowa/A01667086/2017	delta2	NA	NA	1998B	TTTTPT	TRUE
A01667087	2017-03-27	IA	H3N2	A/swine/Iowa/A01667087/2017	NA	IV-B	NA	2002	TTPPPT	TRUE
A01667088	2017-03-06	IA	H1N1	A/swine/Iowa/A01667088/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01667089	2017-03-08	IA	H1N1	A/swine/Iowa/A01667089/2017	gamma	NA	Classical	NA	TTTTPT	TRUE
A01667091	2017-03-27	IA	H1N1	A/swine/Iowa/A01667091/2017	beta	NA	Classical	NA	TTTPPT	TRUE
A01667095	2017-03-13	IA	H3N2	A/swine/Iowa/A01667095/2017	NA	IV-I	NA	2002A	TTTPPT	TRUE
A02214242	2017-03-22	IA	H1N2	A/swine/Iowa/A02214242/2017	delta1b	NA	NA	2002A	TTTPPT	TRUE
A02214654	2017-03-28	IA	H1N2	A/swine/Iowa/A02214654/2017	delta1b	NA	NA	2002A	TTTPPT	TRUE
A02216651	2017-06-13	IA	H1N2	A/swine/Iowa/A02216651/2017	gamma	NA	NA	2002A	NA	FALSE
A02217293	2017-06-19	IA	H1N2	A/swine/Iowa/A02217293/2017	delta2	NA	NA	1998B	NA	FALSE
A02217969	2017-06-28	IA	H1N2	A/swine/Iowa/A02217969/2017	delta2	NA	NA	1998B	NA	FALSE
A02218167	2017-06-20	IA	H1N1	A/swine/Iowa/A02218167/2017	gamma	NA	Classical	NA	NA	FALSE
A02218175	2017-06-26	IA	H1N1	A/swine/Iowa/A02218175/2017	gamma	NA	Classical	NA	NA	FALSE
A02218176	2017-06-28	IA	H1N2	A/swine/Iowa/A02218176/2017	delta1a	NA	NA	2002A	NA	FALSE
A02218426	2017-07-17	IA	H1N2	A/swine/Iowa/A02218426/2017	delta1a	NA	NA	2002B	NA	FALSE
A02218749	2017-07-25	IA	H1N2	A/swine/Iowa/A02218749/2017	delta1a	NA	NA	2002B	NA	FALSE
A02218754	2017-07-28	IA	H3N2	A/swine/Iowa/A02218754/2017	NA	2010.1	NA	2002A	NA	FALSE
A02218756	2017-08-07	IA	H1N1	A/swine/Iowa/A02218756/2017	gamma	NA	Classical	NA	NA	FALSE
A02219543	2017-08-04	IA	H3N2	A/swine/Iowa/A02219543/2017	NA	2010.1	NA	2002B	NA	FALSE
A02219545	2017-08-09	IA	H3N2	A/swine/Iowa/A02219545/2017	NA	2010.1	NA	2002A	NA	FALSE
A02219578	2017-08-16	IA	H1N2	A/swine/Iowa/A02219578/2017	delta1b	NA	NA	2002A	NA	FALSE
A02219687	2017-08-22	IA	H1N1	A/swine/Iowa/A02219687/2017	gamma	NA	Classical	NA	NA	FALSE
A01378028	2017-07-26	KS	H3N2	A/swine/Kansas/A01378028/2017	NA	IV-B	NA	2002B	TTTPPT	TRUE
A02214235	2017-03-21	MI	H1N1	A/swine/Michigan/A02214235/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01667100	2017-03-14	MN	H1N1	A/swine/Minnesota/A01667100/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01932042	2017-02-08	MN	H1N2	A/swine/Minnesota/A01932042/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02214666	2017-03-22	MN	H1N1	A/swine/Minnesota/A02214666/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02218758	2017-08-02	MN	H1N1	A/swine/Minnesota/A02218758/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A02219546	2017-08-11	MN	H1N2	A/swine/Minnesota/A02219546/2017	delta1a	NA	NA	2002B	NA	FALSE
A01667102	2017-03-13	MO	H3N2	A/swine/Missouri/A01667102/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A01932047	2017-02-09	MO	H3N2	A/swine/Missouri/A01932047/2017	NA	2010.1	NA	2002B	TTPTPT	TRUE
A02218638	2017-08-01	MO	H1N2	A/swine/Missouri/A02218638/2017	delta1b	NA	NA	2002B	NA	FALSE
A01933901	2017-03-20	NE	H1N2	A/swine/Nebraska/A01933901/2017	delta1a	NA	NA	2002A	TTTPPT	TRUE
A01667104	2017-03-07	NC	H1N2	A/swine/North_Carolina/A01667104/2017	delta2	NA	NA	1998B	TTPPPT	TRUE
A02214000	2017-03-16	NC	H1N2	A/swine/North_Carolina/A02214000/2017	alpha	NA	NA	2002B	TTPPPT	TRUE
A02218390	2017-07-19	NC	H1N2	A/swine/North_Carolina/A02218390/2017	alpha	NA	NA	2002B	NA	FALSE
A02218431	2017-07-11	NC	H1N2	A/swine/North_Carolina/A02218431/2017	delta2	NA	NA	1998B	NA	FALSE
A02218432	2017-07-19	NC	H1N2	A/swine/North_Carolina/A02218432/2017	alpha	NA	NA	2002B	NA	FALSE
A02218441	2017-07-24	NC	H1N2	A/swine/North_Carolina/A02218441/2017	alpha	NA	NA	2002B	NA	FALSE
A01354299	2017-07-14	OH	H3N2	A/swine/Ohio/A01354299/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01354302	2017-07-17	OH	H3N2	A/swine/Ohio/A01354302/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01354304	2017-07-19	OH	H1N1	A/swine/Ohio/A01354304/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01354305	2017-07-19	OH	H1N1	A/swine/Ohio/A01354305/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01354314	2017-08-04	OH	H3N2	A/swine/Ohio/A01354314/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01354315	2017-08-04	OH	H3N2	A/swine/Ohio/A01354315/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01354316	2017-08-13	OH	H1N2	A/swine/Ohio/A01354316/2017	delta2	NA	NA	2002B	TTTTPT	TRUE
A01354319	2017-08-13	OH	H1N2	A/swine/Ohio/A01354319/2017	delta2	NA	NA	2002B	TTTTPT	TRUE
A01785280	2017-07-26	OH	H1N1	A/swine/Ohio/A01785280/2017	gamma	NA	Classical	NA	NA	FALSE
A02214229	2017-03-20	OH	H1N1	A/swine/Ohio/A02214229/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A02214230	2017-03-20	OH	H3N2	A/swine/Ohio/A02214230/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02218183	2017-06-27	OH	H3N2	A/swine/Ohio/A02218183/2017	NA	2010.1	NA	2002A	NA	FALSE
A01672680	2017-02-01	OK	H1N1	A/swine/Oklahoma/A01672680/2017	delta1b	NA	Pandemic	NA	TTTPPT	TRUE
A02218157	2017-05-31	OK	H3N2	A/swine/Oklahoma/A02218157/2017	NA	2010.2	NA	2016	TTTTPT	TRUE
A02218159	2017-06-12	OK	H3N2	A/swine/Oklahoma/A02218159/2017	NA	2010.2	NA	2016	TTTTPT	TRUE
A01933903	2017-03-21	PA	H1N2	A/swine/Pennsylvania/A01933903/2017	delta2	NA	NA	1998B	TTTPPT	TRUE
A01932046	2017-02-03	SC	H1N2	A/swine/South_Carolina/A01932046/2017	delta2	NA	NA	2002A	TTTTPT	TRUE
A02214849	2017-03-20	SC	H1N2	A/swine/South_Carolina/A02214849/2017	delta2	NA	NA	2002A	TTTTPT	TRUE
A01932036	2017-02-06	IL	H1N1	A/swine/Illinois/A01932036/2017	pandemic	NA	Pandemic	NA	PPPTPP	TRUE
A02216642	2017-05-13	IL	H1N1	A/swine/Illinois/A02216642/2017	gamma	NA	Classical	NA	NA	FALSE
A02218179	2017-06-21	IL	H1N1	A/swine/Illinois/A02218179/2017	gamma	NA	Classical	NA	NA	FALSE
A01672825	2017-02-01	IN	H1N1	A/swine/Indiana/A01672825/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01932256	2017-02-15	IN	H1N2	A/swine/Indiana/A01932256/2017	delta2	NA	NA	1998B	TTTTPT	TRUE
A02216643	2017-06-05	IN	H1N1	A/swine/Indiana/A02216643/2017	gamma	NA	Classical	NA	NA	FALSE
A02217291	2017-06-13	IN	H1N1	A/swine/Indiana/A02217291/2017	gamma	NA	Classical	NA	NA	FALSE
A01672824	2017-02-03	IA	H1N1	A/swine/Iowa/A01672824/2017	gamma	NA	Classical	NA	TTTTPT	TRUE
A01932417	2017-02-20	IA	H1N2	A/swine/Iowa/A01932417/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A01932419	2017-02-18	IA	H1N2	A/swine/Iowa/A01932419/2017	delta1a	NA	NA	2002A	TTTTPT	TRUE
A01932420	2017-02-21	IA	H1N1	A/swine/Iowa/A01932420/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A01932577	2017-02-27	IA	H1N2	A/swine/Iowa/A01932577/2017	alpha	NA	NA	2002	TTTTTT	TRUE
A01932578	2017-02-27	IA	H3N2	A/swine/Iowa/A01932578/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02216458	2017-05-31	IA	H1N1	A/swine/Iowa/A02216458/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A02216638	2017-06-08	IA	H1N1	A/swine/Iowa/A02216638/2017	gamma	NA	Classical	NA	NA	FALSE
A02216639	2017-06-07	IA	H1N2	A/swine/Iowa/A02216639/2017	delta1a	NA	NA	2002B	NA	FALSE
A02216640	2017-06-06	IA	H1N2	A/swine/Iowa/A02216640/2017	delta2	NA	NA	1998B	NA	FALSE
A02216641	2017-06-07	IA	H1N1	A/swine/Iowa/A02216641/2017	gamma	NA	Classical	NA	NA	FALSE
A02216646	2017-06-05	IA	H1N2	A/swine/Iowa/A02216646/2017	delta1b	NA	NA	2002A	NA	FALSE
A02217283	2017-06-12	IA	H1N1	A/swine/Iowa/A02217283/2017	gamma	NA	Classical	NA	NA	FALSE
A02217284	2017-06-13	IA	H1N1	A/swine/Iowa/A02217284/2017	gamma	NA	Classical	NA	NA	FALSE
A02217285	2017-06-15	IA	H1N1	A/swine/Iowa/A02217285/2017	gamma	NA	Classical	NA	NA	FALSE
A02217287	2017-06-16	IA	H3N2	A/swine/Iowa/A02217287/2017	NA	2010.1	NA	2002B	NA	FALSE
A02217288	2017-06-15	IA	H1N1	A/swine/Iowa/A02217288/2017	gamma	NA	Classical	NA	NA	FALSE
A02218162	2017-06-19	IA	H3N2	A/swine/Iowa/A02218162/2017	NA	2010.1	NA	2002B	NA	FALSE
A02218164	2017-06-19	IA	H3N2	A/swine/Iowa/A02218164/2017	NA	2010.1	NA	2002B	NA	FALSE
A02218165	2017-06-21	IA	H1N2	A/swine/Iowa/A02218165/2017	delta1b	NA	NA	2002A	NA	FALSE
A02218166	2017-06-23	IA	H1N1	A/swine/Iowa/A02218166/2017	gamma	NA	Classical	NA	NA	FALSE
A02218168	2017-06-23	IA	H3N2	A/swine/Iowa/A02218168/2017	NA	2010.1	NA	2002A	NA	FALSE
A02218170	2017-06-22	IA	H3N2	A/swine/Iowa/A02218170/2017	NA	2010.1	NA	2002B	NA	FALSE
A02218172	2017-06-26	IA	H1N2	A/swine/Iowa/A02218172/2017	delta1a	NA	NA	2002B	NA	FALSE
A02218174	2017-06-26	IA	H1N2	A/swine/Iowa/A02218174/2017	delta1a	NA	NA	2002B	NA	FALSE
A02218177	2017-06-29	IA	H1N2	A/swine/Iowa/A02218177/2017	delta1a	NA	NA	2002B	NA	FALSE
A01678496	2017-06-22	MN	H1N1	A/swine/Minnesota/A01678496/2017	gamma	NA	Classical	NA	NA	FALSE
A01678498	2017-06-29	MN	H3N2	A/swine/Minnesota/A01678498/2017	NA	2010.1	NA	2002A	NA	FALSE
A01785270	2017-06-12	MN	H3N2	A/swine/Minnesota/A01785270/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785273	2017-07-06	MN	H1N1	A/swine/Minnesota/A01785273/2017	gamma	NA	Classical	NA	NA	FALSE
A02216467	2017-05-30	MN	H3N2	A/swine/Minnesota/A02216467/2017	NA	2010.1	NA	2002A	NA	FALSE
A01672702	2017-02-03	MO	H3N2	A/swine/Missouri/A01672702/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A01672819	2017-02-06	MO	H1N1	A/swine/Missouri/A01672819/2017	gamma	NA	Classical	NA	TTTTPT	TRUE
A01932424	2017-02-22	MO	H1N1	A/swine/Missouri/A01932424/2017	gamma2	NA	Classical	NA	PPPPPP	TRUE
A01785271	2017-06-19	NE	H3N2	A/swine/Nebraska/A01785271/2017	NA	IV-A	NA	2002A	NA	FALSE
A01785272	2017-07-03	NE	H3N2	A/swine/Nebraska/A01785272/2017	NA	IV-A	NA	2002A	NA	FALSE
A01785275	2017-07-06	NE	H1N2	A/swine/Nebraska/A01785275/2017	gamma	NA	NA	2002A	NA	FALSE
A01785277	2017-07-14	NE	H1N2	A/swine/Nebraska/A01785277/2017	delta1a	NA	NA	2002B	NA	FALSE
A01672751	2017-02-08	NC	H1N1	A/swine/North_Carolina/A01672751/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
